Year,Blue king crab - Pribilof Islands,Blue king crab - Saint Matthew Island,Golden king crab - Aleutian Islands,Golden king crab - Eastern Aleutian Islands,Golden king crab - Pribilof Islands,Golden king crab - Western Aleutian Islands,Red king crab - Bristol Bay,Red king crab - Norton Sound,Red king crab - Pribilof Islands,Red king crab - Western Aleutian Islands,Snow crab - Bering Sea,Southern Tanner crab - Bering Sea
1948,,,,,,,,,,,,
1949,,,,,,,,,,,,
1950,,,,,,,,,,,,
1951,,,,,,,,,,,,
1952,,,,,,,,,,,,
1953,,,,,,,6036.899902,,,,,
1954,,,,,,,4870.200195,,,,,
1955,,,,,,,4741.899902,,,,,
1956,,,,,,,4546.399902,,,,,
1957,,,,,,,4057.800049,,,,,
1958,,,,,,,3544.800049,,,,,
1959,,,,,,,6062.299805,,,,,
1960,,,,,,,12472.90039,,,,,
1961,,,,,,,20420.30078,,,941,,
1962,,,,,,,24649.59961,,,2773,,
1963,,,,,,,25227,,,3631,,
1964,,,,,,,26758.80078,,,8121,,
1965,,,,,,,19378.80078,,,9613,,1920
1966,,,,,,,19664.59961,,,5858,,2440
1967,,,,,,,16664.09961,,,2668,,13590
1968,,,,,,,16399.59961,,,6410,,18010
1969,,,,,,,11242.7002,,,7303,,27490
1970,,,,,,,9771.700195,,,8172,,25500
1971,,,,,,,8654.5,,,7283,,20720
1972,,,,,,,12004.2998,,,7020,,16900
1973,,,,,,,12311.2002,,,8493,,27218.40039
1974,579,,,,,,19387.59961,,,4419,,34918.89844
1975,3224,,,,,,23281.19922,,,1259,,25186
1976,1104,,,,,,28993.59961,,0,187,,33779.39844
1977,2999,,,,,,31736.90039,235.8680237,0,0,,37750.80078
1978,2929,,,,,,39743,948.0080144,0,411,,22585
1979,2901,900.0403796,,,,,48910,1329.025674,0,366,,21717.90039
1980,2719,95.62581185,,,,,58943.60156,539.7749463,0,212,,15117.2998
1981,4976,0,,,,,15236.7998,625.9574684,0,644,,6168.899902
1982,4119,2099.115368,,,32,,1361.300049,104.326247,0,748,13609.99966,2749.699951
1983,1998,4011.925532,,,388,,0,167.8291791,0,772,13979.99954,1085.900024
1984,995,4288.405278,,,0,,1897.099976,176.9010178,0,899,33439.99863,1944.099976
1985,139,1707.588814,,,,,1893.800049,195.0447223,0,588,49240.00168,319.2999878
1986,240,986.6020625,,,0,,5168.200195,217.7243327,0,394,50849.99847,518.9000244
1987,117,455.0262579,,,,,5574.200195,149.685488,0,323,67419.99817,1509.599976
1988,318,471.6354362,,,,,3351.100098,108.8621664,0,551,74139.99939,3549.800049
1989,0,560.8492715,,,,,4656,113.3980925,0,711,80800.00305,11650.09961
1990,0,75.41329874,,,0,,9272.799805,86.18254922,0,502,166360.0006,22475.19922
1991,0,782.6045036,,3982,0,3981,7885.100098,0,2,376,157580.0018,24021.40039
1992,0,1529.542161,,2118,0,6597,3681.800049,31.75146604,50,431,124160.0037,26674.5
1993,0,1123.05569,,1039,31,5436,6659.600098,149.685488,1348,584,74910.00366,12829.2002
1994,0,1362.177146,,3601,40,,42.29999924,145.1495552,676,317,40889.99939,7180.200195
1995,0,1707.439129,4252,5054,155,3444,36.40000153,145.1495552,450,89,36590.00015,4795.899902
1996,628,1436.114456,3466,2619,149,4641,3861.699951,99.79032086,101,18,62389.99939,2813.5
1997,425,1396.591171,3486,1972,81,2563,4042.100098,40.82331492,379,0,120959.9991,1625.400024
1998,232,2109.048579,2913,1892,16,2977,6779.200195,13.6077708,275,,93309.99756,979.7999878
1999,234,1346.520964,3337,1107,80,3141,5377.899902,9.071847197,6,0,16090.00015,534.5999756
2000,0,0,3539,2178,58,2606,3737.899902,136.0777164,2,35,12489.99977,691.9000244
2001,0,0,3310,2273,66,2760,3866.199951,127.0058641,0,70,17000,1083.900024
2002,0,0,3010,2155,68,2238,4384.5,113.3980925,0,229,14479.99954,607.7999878
2003,0,0,3041,1900,,1916,7135.299805,117.9340119,2,217,11890.00034,370.5
2004,0,0,2922,1867,,1902,7006.700195,154.2214074,5,0,12430.00031,581.5
2005,0,0,2735,1886,,1695,8399.700195,181.4369507,7,0,18329.99992,1346.199951
2006,0,0,2638,1796,0,1742,7143.200195,204.1165611,18,0,18690.00053,2177.600098
2007,0,0,2833,1551,0,1647,9303.900391,140.6136358,2,0,31309.99947,2415.199951
2008,0,0,2860,1614,0,1820,9216.099609,176.9010178,9,0,28809.99947,1756.699951
2009,0,0,2951,1733,0,1824,7272.5,181.4369507,2,0,23489.99977,1380.5
