"","year","tot_n"
"1",1990,15416778
"2",1991,49951488
"3",1992,58018473
"4",1993,26029053
"5",1994,13087705
"6",1995,9600061
"7",1996,4604440
"8",1997,3860602
"9",1998,1556392
"10",1999,448049
"11",2000,735202
"12",2001,1252206
"13",2002,490827
"14",2003,253388
"15",2004,497197
"16",2005,3247734
"17",2006,5094225
"18",2007,7464049
"19",2008,4197856
"20",2009,3832577
"21",2010,2717438
"22",2011,3654115
"23",2012,2844175
"24",2013,6030059
"25",2014,23630701
"26",2015,27417065
"27",2016,5152319
"28",2017,4204687
"29",2018,4270314
"30",2019,2009179
"31",2020,3147545
"32",2021,1750925
"33",2022,2609516
"34",2023,1728275
"35",2024,4940671
