year,sex,maturity,shell condition,size,ss,abundance
1980,male,undetermined,new shell,25,11840,0
1980,male,undetermined,new shell,30,11840,0
1980,male,undetermined,new shell,35,11840,0
1980,male,undetermined,new shell,40,11840,0
1980,male,undetermined,new shell,45,11840,0
1980,male,undetermined,new shell,50,11840,0
1980,male,undetermined,new shell,55,11840,0
1980,male,undetermined,new shell,60,11840,0
1980,male,undetermined,new shell,65,11840,0
1980,male,undetermined,new shell,70,11840,0
1980,male,undetermined,new shell,75,11840,0
1980,male,undetermined,new shell,80,11840,0
1980,male,undetermined,new shell,85,11840,0
1980,male,undetermined,new shell,90,11840,0
1980,male,undetermined,new shell,95,11840,0
1980,male,undetermined,new shell,100,11840,0
1980,male,undetermined,new shell,105,11840,0
1980,male,undetermined,new shell,110,11840,971.3081893313299
1980,male,undetermined,new shell,115,11840,0
1980,male,undetermined,new shell,120,11840,2913.9245679939895
1980,male,undetermined,new shell,125,11840,5827.849135987979
1980,male,undetermined,new shell,130,11840,69934.18963185574
1980,male,undetermined,new shell,135,11840,607067.6183320811
1980,male,undetermined,new shell,140,11840,1993124.4045078887
1980,male,undetermined,new shell,145,11840,2172816.419534185
1980,male,undetermined,new shell,150,11840,2086369.9906836965
1980,male,undetermined,new shell,155,11840,1851313.4088655144
1980,male,undetermined,new shell,160,11840,1241331.8659654395
1980,male,undetermined,new shell,165,11840,816870.18722764845
1980,male,undetermined,new shell,170,11840,396293.74124718254
1980,male,undetermined,new shell,175,11840,172892.85770097672
1980,male,undetermined,new shell,180,11840,82561.19609316303
1980,male,undetermined,old shell,25,1470,0
1980,male,undetermined,old shell,30,1470,0
1980,male,undetermined,old shell,35,1470,0
1980,male,undetermined,old shell,40,1470,0
1980,male,undetermined,old shell,45,1470,0
1980,male,undetermined,old shell,50,1470,0
1980,male,undetermined,old shell,55,1470,0
1980,male,undetermined,old shell,60,1470,0
1980,male,undetermined,old shell,65,1470,0
1980,male,undetermined,old shell,70,1470,0
1980,male,undetermined,old shell,75,1470,0
1980,male,undetermined,old shell,80,1470,0
1980,male,undetermined,old shell,85,1470,0
1980,male,undetermined,old shell,90,1470,0
1980,male,undetermined,old shell,95,1470,0
1980,male,undetermined,old shell,100,1470,0
1980,male,undetermined,old shell,105,1470,0
1980,male,undetermined,old shell,110,1470,0
1980,male,undetermined,old shell,115,1470,0
1980,male,undetermined,old shell,120,1470,0
1980,male,undetermined,old shell,125,1470,1942.6163786626598
1980,male,undetermined,old shell,130,1470,10684.390082644628
1980,male,undetermined,old shell,135,1470,107815.20901577761
1980,male,undetermined,old shell,140,1470,314703.8533433509
1980,male,undetermined,old shell,145,1470,275851.5257700977
1980,male,undetermined,old shell,150,1470,297220.3059353869
1980,male,undetermined,old shell,155,1470,220486.9589782119
1980,male,undetermined,old shell,160,1470,122384.83185574754
1980,male,undetermined,old shell,165,1470,50508.02584522915
1980,male,undetermined,old shell,170,1470,17483.547407963935
1980,male,undetermined,old shell,175,1470,6799.157325319309
1980,male,undetermined,old shell,180,1470,1942.6163786626598
1981,male,undetermined,new shell,25,10386,0
1981,male,undetermined,new shell,30,10386,0
