fishery,area,year,sex,maturity,shell condition,ss
RKF,all EBS,2006,male,undetermined,new shell,531
RKF,all EBS,2006,male,undetermined,old shell,316
RKF,all EBS,2007,male,undetermined,new shell,161
RKF,all EBS,2007,male,undetermined,old shell,142
RKF,all EBS,2008,male,undetermined,new shell,616
RKF,all EBS,2008,male,undetermined,old shell,83
RKF,all EBS,2009,male,undetermined,new shell,140
RKF,all EBS,2009,male,undetermined,old shell,1
RKF,all EBS,2011,male,undetermined,new shell,1
RKF,all EBS,2012,male,undetermined,new shell,1
RKF,all EBS,2013,male,undetermined,new shell,64
RKF,all EBS,2013,male,undetermined,old shell,2
RKF,all EBS,2014,male,undetermined,new shell,82
RKF,all EBS,2015,male,undetermined,new shell,1
SCF,all EBS,2004,male,undetermined,new shell,9
SCF,all EBS,2004,male,undetermined,old shell,7
SCF,all EBS,2005,male,undetermined,new shell,2199
SCF,all EBS,2005,male,undetermined,old shell,627
SCF,all EBS,2006,male,undetermined,new shell,721
SCF,all EBS,2006,male,undetermined,old shell,1799
SCF,all EBS,2007,male,undetermined,new shell,538
SCF,all EBS,2007,male,undetermined,old shell,693
SCF,all EBS,2008,male,undetermined,new shell,99
SCF,all EBS,2008,male,undetermined,old shell,26
SCF,all EBS,2009,male,undetermined,new shell,57
SCF,all EBS,2009,male,undetermined,old shell,7
SCF,all EBS,2010,male,undetermined,new shell,31
SCF,all EBS,2010,male,undetermined,old shell,11
SCF,all EBS,2011,male,undetermined,new shell,50
SCF,all EBS,2011,male,undetermined,old shell,4
SCF,all EBS,2012,male,undetermined,new shell,27
SCF,all EBS,2012,male,undetermined,old shell,9
SCF,all EBS,2013,male,undetermined,new shell,157
SCF,all EBS,2013,male,undetermined,old shell,14
SCF,all EBS,2014,male,undetermined,new shell,213
SCF,all EBS,2014,male,undetermined,old shell,57
SCF,all EBS,2015,male,undetermined,new shell,237
SCF,all EBS,2015,male,undetermined,old shell,55
SCF,all EBS,2016,male,undetermined,new shell,35
SCF,all EBS,2016,male,undetermined,old shell,8
SCF,all EBS,2017,male,undetermined,new shell,80
SCF,all EBS,2017,male,undetermined,old shell,17
SCF,all EBS,2018,male,undetermined,new shell,43
SCF,all EBS,2018,male,undetermined,old shell,25
SCF,all EBS,2019,male,undetermined,new shell,11
SCF,all EBS,2019,male,undetermined,old shell,1
SCF,all EBS,2020,male,undetermined,new shell,41
SCF,all EBS,2020,male,undetermined,old shell,74
SCF,all EBS,2021,male,undetermined,new shell,4
SCF,all EBS,2021,male,undetermined,old shell,3
SCF,all EBS,2024,male,undetermined,new shell,23
SCF,all EBS,2024,male,undetermined,old shell,1
TCF,East 166W,2006,male,undetermined,new shell,815
TCF,East 166W,2006,male,undetermined,old shell,1544
TCF,East 166W,2007,male,undetermined,new shell,2730
TCF,East 166W,2007,male,undetermined,old shell,1439
TCF,East 166W,2008,male,undetermined,new shell,2717
TCF,East 166W,2008,male,undetermined,old shell,252
TCF,East 166W,2009,male,undetermined,new shell,2369
TCF,East 166W,2009,male,undetermined,old shell,48
TCF,East 166W,2013,male,undetermined,new shell,2250
TCF,East 166W,2013,male,undetermined,old shell,274
TCF,East 166W,2014,male,undetermined,new shell,6278
TCF,East 166W,2014,male,undetermined,old shell,1274
TCF,East 166W,2015,male,undetermined,new shell,11066
TCF,East 166W,2015,male,undetermined,old shell,4159
TCF,East 166W,2022,male,undetermined,new shell,2073
TCF,East 166W,2022,male,undetermined,old shell,258
TCF,East 166W,2023,male,undetermined,new shell,1478
TCF,East 166W,2023,male,undetermined,old shell,149
TCF,East 166W,2024,male,undetermined,new shell,2013
TCF,East 166W,2024,male,undetermined,old shell,288
TCF,West 166W,2005,male,undetermined,new shell,649
TCF,West 166W,2005,male,undetermined,old shell,56
TCF,West 166W,2006,male,undetermined,new shell,238
TCF,West 166W,2006,male,undetermined,old shell,343
TCF,West 166W,2007,male,undetermined,new shell,932
TCF,West 166W,2007,male,undetermined,old shell,726
TCF,West 166W,2008,male,undetermined,new shell,429
TCF,West 166W,2008,male,undetermined,old shell,92
TCF,West 166W,2013,male,undetermined,new shell,1869
TCF,West 166W,2013,male,undetermined,old shell,368
TCF,West 166W,2014,male,undetermined,new shell,5012
TCF,West 166W,2014,male,undetermined,old shell,1807
TCF,West 166W,2015,male,undetermined,new shell,7364
TCF,West 166W,2015,male,undetermined,old shell,1731
TCF,West 166W,2017,male,undetermined,new shell,1980
TCF,West 166W,2017,male,undetermined,old shell,1490
TCF,West 166W,2018,male,undetermined,new shell,879
TCF,West 166W,2018,male,undetermined,old shell,2427
TCF,West 166W,2020,male,undetermined,new shell,1378
TCF,West 166W,2020,male,undetermined,old shell,1945
TCF,West 166W,2021,male,undetermined,new shell,1993
TCF,West 166W,2021,male,undetermined,old shell,351
TCF,West 166W,2022,male,undetermined,new shell,2059
TCF,West 166W,2022,male,undetermined,old shell,348
TCF,West 166W,2023,male,undetermined,new shell,2505
TCF,West 166W,2023,male,undetermined,old shell,389
TCF,West 166W,2024,male,undetermined,new shell,3371
TCF,West 166W,2024,male,undetermined,old shell,677
TCF,all EBS,1989,male,undetermined,new shell,34184
TCF,all EBS,1989,male,undetermined,old shell,1772
TCF,all EBS,1990,male,undetermined,new shell,78310
TCF,all EBS,1990,male,undetermined,old shell,5280
TCF,all EBS,1991,male,undetermined,new shell,118583
TCF,all EBS,1991,male,undetermined,old shell,8644
TCF,all EBS,1992,male,undetermined,new shell,113509
TCF,all EBS,1992,male,undetermined,old shell,11886
TCF,all EBS,1993,male,undetermined,new shell,67264
TCF,all EBS,1993,male,undetermined,old shell,4358
TCF,all EBS,1994,male,undetermined,new shell,25585
TCF,all EBS,1994,male,undetermined,old shell,2073
TCF,all EBS,1995,male,undetermined,new shell,11297
TCF,all EBS,1995,male,undetermined,old shell,7979
TCF,all EBS,1996,male,undetermined,new shell,2063
TCF,all EBS,1996,male,undetermined,old shell,2367
TCF,all EBS,2005,male,undetermined,new shell,649
TCF,all EBS,2005,male,undetermined,old shell,56
TCF,all EBS,2006,male,undetermined,new shell,1053
TCF,all EBS,2006,male,undetermined,old shell,1887
TCF,all EBS,2007,male,undetermined,new shell,3662
TCF,all EBS,2007,male,undetermined,old shell,2165
TCF,all EBS,2008,male,undetermined,new shell,3146
TCF,all EBS,2008,male,undetermined,old shell,344
TCF,all EBS,2009,male,undetermined,new shell,2369
TCF,all EBS,2009,male,undetermined,old shell,48
TCF,all EBS,2013,male,undetermined,new shell,4119
TCF,all EBS,2013,male,undetermined,old shell,642
TCF,all EBS,2014,male,undetermined,new shell,11290
TCF,all EBS,2014,male,undetermined,old shell,3081
TCF,all EBS,2015,male,undetermined,new shell,18430
TCF,all EBS,2015,male,undetermined,old shell,5890
TCF,all EBS,2017,male,undetermined,new shell,1980
TCF,all EBS,2017,male,undetermined,old shell,1490
TCF,all EBS,2018,male,undetermined,new shell,879
TCF,all EBS,2018,male,undetermined,old shell,2427
TCF,all EBS,2020,male,undetermined,new shell,1378
TCF,all EBS,2020,male,undetermined,old shell,1945
TCF,all EBS,2021,male,undetermined,new shell,1993
TCF,all EBS,2021,male,undetermined,old shell,351
TCF,all EBS,2022,male,undetermined,new shell,4132
TCF,all EBS,2022,male,undetermined,old shell,606
TCF,all EBS,2023,male,undetermined,new shell,3983
TCF,all EBS,2023,male,undetermined,old shell,538
TCF,all EBS,2024,male,undetermined,new shell,5384
TCF,all EBS,2024,male,undetermined,old shell,965
