fishery,area,sex,maturity,shell condition,year,ss,size,abundance
RKF,all EBS,male,undetermined,new shell,1991,2003,25,0
RKF,all EBS,male,undetermined,new shell,1991,2003,30,0
RKF,all EBS,male,undetermined,new shell,1991,2003,35,0
RKF,all EBS,male,undetermined,new shell,1991,2003,40,0
RKF,all EBS,male,undetermined,new shell,1991,2003,45,0
RKF,all EBS,male,undetermined,new shell,1991,2003,50,0
RKF,all EBS,male,undetermined,new shell,1991,2003,55,0
RKF,all EBS,male,undetermined,new shell,1991,2003,60,0
RKF,all EBS,male,undetermined,new shell,1991,2003,65,0
RKF,all EBS,male,undetermined,new shell,1991,2003,70,0
RKF,all EBS,male,undetermined,new shell,1991,2003,75,0
RKF,all EBS,male,undetermined,new shell,1991,2003,80,1719.573251209855
RKF,all EBS,male,undetermined,new shell,1991,2003,85,0
RKF,all EBS,male,undetermined,new shell,1991,2003,90,5158.719753629564
RKF,all EBS,male,undetermined,new shell,1991,2003,95,11177.226132864056
RKF,all EBS,male,undetermined,new shell,1991,2003,100,11177.226132864056
RKF,all EBS,male,undetermined,new shell,1991,2003,105,7738.079630444346
RKF,all EBS,male,undetermined,new shell,1991,2003,110,14616.372635283766
RKF,all EBS,male,undetermined,new shell,1991,2003,115,23214.238891333043
RKF,all EBS,male,undetermined,new shell,1991,2003,120,49007.83765948086
RKF,all EBS,male,undetermined,new shell,1991,2003,125,64483.99692036956
RKF,all EBS,male,undetermined,new shell,1991,2003,130,118650.55433347999
RKF,all EBS,male,undetermined,new shell,1991,2003,135,124669.06071271449
RKF,all EBS,male,undetermined,new shell,1991,2003,140,159060.52573691157
RKF,all EBS,male,undetermined,new shell,1991,2003,145,199470.49714034316
RKF,all EBS,male,undetermined,new shell,1991,2003,150,221824.94940607128
RKF,all EBS,male,undetermined,new shell,1991,2003,155,210647.7232732072
RKF,all EBS,male,undetermined,new shell,1991,2003,160,223544.5226572811
RKF,all EBS,male,undetermined,new shell,1991,2003,165,141005.0065992081
RKF,all EBS,male,undetermined,new shell,1991,2003,170,91997.16893972723
RKF,all EBS,male,undetermined,new shell,1991,2003,175,30092.53189617246
RKF,all EBS,male,undetermined,new shell,1991,2003,180,12896.799384073911
RKF,all EBS,male,undetermined,new shell,1992,1655,25,0
RKF,all EBS,male,undetermined,new shell,1992,1655,30,0
RKF,all EBS,male,undetermined,new shell,1992,1655,35,0
RKF,all EBS,male,undetermined,new shell,1992,1655,40,0
RKF,all EBS,male,undetermined,new shell,1992,1655,45,0
RKF,all EBS,male,undetermined,new shell,1992,1655,50,0
RKF,all EBS,male,undetermined,new shell,1992,1655,55,0
RKF,all EBS,male,undetermined,new shell,1992,1655,60,0
RKF,all EBS,male,undetermined,new shell,1992,1655,65,0
RKF,all EBS,male,undetermined,new shell,1992,1655,70,0
RKF,all EBS,male,undetermined,new shell,1992,1655,75,717.3176070038911
RKF,all EBS,male,undetermined,new shell,1992,1655,80,717.3176070038911
RKF,all EBS,male,undetermined,new shell,1992,1655,85,717.3176070038911
RKF,all EBS,male,undetermined,new shell,1992,1655,90,2869.2704280155644
RKF,all EBS,male,undetermined,new shell,1992,1655,95,8607.811284046693
RKF,all EBS,male,undetermined,new shell,1992,1655,100,12194.399319066148
RKF,all EBS,male,undetermined,new shell,1992,1655,105,20084.89299610895
RKF,all EBS,male,undetermined,new shell,1992,1655,110,33713.927529182874
RKF,all EBS,male,undetermined,new shell,1992,1655,115,43039.056420233464
RKF,all EBS,male,undetermined,new shell,1992,1655,120,60254.67898832685
RKF,all EBS,male,undetermined,new shell,1992,1655,125,58820.04377431906
RKF,all EBS,male,undetermined,new shell,1992,1655,130,93251.28891050583
RKF,all EBS,male,undetermined,new shell,1992,1655,135,94685.9241245136
RKF,all EBS,male,undetermined,new shell,1992,1655,140,118357.40515564203
RKF,all EBS,male,undetermined,new shell,1992,1655,145,131269.12208171206
RKF,all EBS,male,undetermined,new shell,1992,1655,150,152071.33268482488
RKF,all EBS,male,undetermined,new shell,1992,1655,155,131986.43968871597
RKF,all EBS,male,undetermined,new shell,1992,1655,160,112618.8642996109
RKF,all EBS,male,undetermined,new shell,1992,1655,165,67427.85505836575
RKF,all EBS,male,undetermined,new shell,1992,1655,170,32279.292315175095
