fishery,area,year,sex,maturity,shell condition,abundance,biomass (kg)
TCF,East 166W,2005,male,undetermined,undetermined,0,0
TCF,East 166W,2006,male,undetermined,undetermined,581024,631228
TCF,East 166W,2007,male,undetermined,undetermined,677661,709995
TCF,East 166W,2008,male,undetermined,undetermined,758002,806854
TCF,East 166W,2009,male,undetermined,undetermined,476668,592417
TCF,East 166W,2010,male,undetermined,undetermined,0,0
TCF,East 166W,2011,male,undetermined,undetermined,0,0
TCF,East 166W,2012,male,undetermined,undetermined,0,0
TCF,East 166W,2013,male,undetermined,undetermined,704201,654271
TCF,East 166W,2014,male,undetermined,undetermined,4378199,3829288
TCF,East 166W,2015,male,undetermined,undetermined,5998876,5107722
TCF,East 166W,2016,male,undetermined,undetermined,0,0
TCF,East 166W,2017,male,undetermined,undetermined,139,119
TCF,East 166W,2018,male,undetermined,undetermined,0,0
TCF,East 166W,2019,male,undetermined,undetermined,0,0
TCF,East 166W,2020,male,undetermined,undetermined,0,0
TCF,East 166W,2021,male,undetermined,undetermined,0,0
TCF,East 166W,2022,male,undetermined,undetermined,683223,528389
TCF,East 166W,2023,male,undetermined,undetermined,404036,343522
TCF,East 166W,2024,male,undetermined,undetermined,916223,802576
TCF,West 166W,2005,male,undetermined,undetermined,255859,244534
TCF,West 166W,2006,male,undetermined,undetermined,164719,155532
TCF,West 166W,2007,male,undetermined,undetermined,151525,151112
TCF,West 166W,2008,male,undetermined,undetermined,48171,47157
TCF,West 166W,2009,male,undetermined,undetermined,0,0
TCF,West 166W,2010,male,undetermined,undetermined,0,0
TCF,West 166W,2011,male,undetermined,undetermined,0,0
TCF,West 166W,2012,male,undetermined,undetermined,0,0
TCF,West 166W,2013,male,undetermined,undetermined,722469,593617
TCF,West 166W,2014,male,undetermined,undetermined,3121442,2368693
TCF,West 166W,2015,male,undetermined,undetermined,4817144,3770319
TCF,West 166W,2016,male,undetermined,undetermined,0,0
TCF,West 166W,2017,male,undetermined,undetermined,1322542,1117483
TCF,West 166W,2018,male,undetermined,undetermined,1376977,1103903
TCF,West 166W,2019,male,undetermined,undetermined,0,0
TCF,West 166W,2020,male,undetermined,undetermined,870634,655174
TCF,West 166W,2021,male,undetermined,undetermined,782983,493520
TCF,West 166W,2022,male,undetermined,undetermined,587079,384919
TCF,West 166W,2023,male,undetermined,undetermined,814417,596820
TCF,West 166W,2024,male,undetermined,undetermined,2808477,2048952
RKF,all EBS,2005,male,undetermined,undetermined,0,0
RKF,all EBS,2006,male,undetermined,undetermined,4456,4593
RKF,all EBS,2007,male,undetermined,undetermined,7830,7978
RKF,all EBS,2008,male,undetermined,undetermined,20896,23235
RKF,all EBS,2009,male,undetermined,undetermined,6751,8402
RKF,all EBS,2010,male,undetermined,undetermined,6,3
RKF,all EBS,2011,male,undetermined,undetermined,0,0
RKF,all EBS,2012,male,undetermined,undetermined,4,3
RKF,all EBS,2013,male,undetermined,undetermined,5842,6322
RKF,all EBS,2014,male,undetermined,undetermined,3691,3792
RKF,all EBS,2015,male,undetermined,undetermined,1386,1350
RKF,all EBS,2016,male,undetermined,undetermined,33,21
RKF,all EBS,2017,male,undetermined,undetermined,25,17
RKF,all EBS,2018,male,undetermined,undetermined,18,12
RKF,all EBS,2019,male,undetermined,undetermined,0,0
RKF,all EBS,2020,male,undetermined,undetermined,1,1
RKF,all EBS,2021,male,undetermined,undetermined,0,0
RKF,all EBS,2022,male,undetermined,undetermined,0,0
RKF,all EBS,2023,male,undetermined,undetermined,4,3
RKF,all EBS,2024,male,undetermined,undetermined,2,1
SCF,all EBS,2005,male,undetermined,undetermined,188118,187689
SCF,all EBS,2006,male,undetermined,undetermined,175904,171439
SCF,all EBS,2007,male,undetermined,undetermined,90148,86478
SCF,all EBS,2008,male,undetermined,undetermined,3300,2535
SCF,all EBS,2009,male,undetermined,undetermined,2544,1714
SCF,all EBS,2010,male,undetermined,undetermined,1689,1154
SCF,all EBS,2011,male,undetermined,undetermined,3095,2092
SCF,all EBS,2012,male,undetermined,undetermined,1643,1111
SCF,all EBS,2013,male,undetermined,undetermined,13256,9882
SCF,all EBS,2014,male,undetermined,undetermined,19512,14458
SCF,all EBS,2015,male,undetermined,undetermined,39012,30253
SCF,all EBS,2016,male,undetermined,undetermined,1733,1177
SCF,all EBS,2017,male,undetermined,undetermined,17688,15018
SCF,all EBS,2018,male,undetermined,undetermined,4013,3409
SCF,all EBS,2019,male,undetermined,undetermined,125,84
SCF,all EBS,2020,male,undetermined,undetermined,3017,2328
SCF,all EBS,2021,male,undetermined,undetermined,970,763
SCF,all EBS,2022,male,undetermined,undetermined,0,0
SCF,all EBS,2023,male,undetermined,undetermined,0,0
SCF,all EBS,2024,male,undetermined,undetermined,782,532
TCF,all EBS,2005,male,undetermined,undetermined,255859,244534
TCF,all EBS,2006,male,undetermined,undetermined,745743,786760
TCF,all EBS,2007,male,undetermined,undetermined,829186,861107
TCF,all EBS,2008,male,undetermined,undetermined,806173,854011
TCF,all EBS,2009,male,undetermined,undetermined,476668,592417
TCF,all EBS,2010,male,undetermined,undetermined,0,0
TCF,all EBS,2011,male,undetermined,undetermined,0,0
TCF,all EBS,2012,male,undetermined,undetermined,0,0
TCF,all EBS,2013,male,undetermined,undetermined,1426670,1247888
TCF,all EBS,2014,male,undetermined,undetermined,7499641,6197981
TCF,all EBS,2015,male,undetermined,undetermined,10816020,8878041
TCF,all EBS,2016,male,undetermined,undetermined,0,0
TCF,all EBS,2017,male,undetermined,undetermined,1322681,1117602
TCF,all EBS,2018,male,undetermined,undetermined,1376977,1103903
TCF,all EBS,2019,male,undetermined,undetermined,0,0
TCF,all EBS,2020,male,undetermined,undetermined,870634,655174
TCF,all EBS,2021,male,undetermined,undetermined,782983,493520
TCF,all EBS,2022,male,undetermined,undetermined,1270302,913308
TCF,all EBS,2023,male,undetermined,undetermined,1218453,940342
TCF,all EBS,2024,male,undetermined,undetermined,3724700,2851528
