fishery,area,year,sex,maturity,shell condition,size,count
RKF,all EBS,2006,male,undetermined,new shell,117,1
RKF,all EBS,2006,male,undetermined,new shell,133,1
RKF,all EBS,2006,male,undetermined,new shell,138,3
RKF,all EBS,2006,male,undetermined,new shell,139,2
RKF,all EBS,2006,male,undetermined,new shell,140,10
RKF,all EBS,2006,male,undetermined,new shell,141,7
RKF,all EBS,2006,male,undetermined,new shell,142,14
RKF,all EBS,2006,male,undetermined,new shell,143,15
RKF,all EBS,2006,male,undetermined,new shell,144,21
RKF,all EBS,2006,male,undetermined,new shell,145,17
RKF,all EBS,2006,male,undetermined,new shell,146,27
RKF,all EBS,2006,male,undetermined,new shell,147,18
RKF,all EBS,2006,male,undetermined,new shell,148,12
RKF,all EBS,2006,male,undetermined,new shell,149,18
RKF,all EBS,2006,male,undetermined,new shell,150,16
RKF,all EBS,2006,male,undetermined,new shell,151,17
RKF,all EBS,2006,male,undetermined,new shell,152,27
RKF,all EBS,2006,male,undetermined,new shell,153,23
RKF,all EBS,2006,male,undetermined,new shell,154,32
RKF,all EBS,2006,male,undetermined,new shell,155,27
RKF,all EBS,2006,male,undetermined,new shell,156,22
RKF,all EBS,2006,male,undetermined,new shell,157,24
RKF,all EBS,2006,male,undetermined,new shell,158,21
RKF,all EBS,2006,male,undetermined,new shell,159,16
RKF,all EBS,2006,male,undetermined,new shell,160,16
RKF,all EBS,2006,male,undetermined,new shell,161,23
RKF,all EBS,2006,male,undetermined,new shell,162,15
RKF,all EBS,2006,male,undetermined,new shell,163,13
RKF,all EBS,2006,male,undetermined,new shell,164,14
RKF,all EBS,2006,male,undetermined,new shell,165,11
RKF,all EBS,2006,male,undetermined,new shell,166,9
RKF,all EBS,2006,male,undetermined,new shell,167,5
RKF,all EBS,2006,male,undetermined,new shell,168,7
RKF,all EBS,2006,male,undetermined,new shell,169,4
RKF,all EBS,2006,male,undetermined,new shell,170,5
RKF,all EBS,2006,male,undetermined,new shell,171,5
RKF,all EBS,2006,male,undetermined,new shell,172,2
RKF,all EBS,2006,male,undetermined,new shell,173,5
RKF,all EBS,2006,male,undetermined,new shell,175,2
RKF,all EBS,2006,male,undetermined,new shell,177,1
RKF,all EBS,2006,male,undetermined,new shell,178,3
RKF,all EBS,2006,male,undetermined,old shell,97,1
RKF,all EBS,2006,male,undetermined,old shell,123,1
RKF,all EBS,2006,male,undetermined,old shell,129,1
RKF,all EBS,2006,male,undetermined,old shell,137,1
RKF,all EBS,2006,male,undetermined,old shell,138,2
RKF,all EBS,2006,male,undetermined,old shell,139,3
RKF,all EBS,2006,male,undetermined,old shell,140,9
RKF,all EBS,2006,male,undetermined,old shell,141,9
RKF,all EBS,2006,male,undetermined,old shell,142,18
RKF,all EBS,2006,male,undetermined,old shell,143,12
RKF,all EBS,2006,male,undetermined,old shell,144,16
RKF,all EBS,2006,male,undetermined,old shell,145,16
RKF,all EBS,2006,male,undetermined,old shell,146,13
RKF,all EBS,2006,male,undetermined,old shell,147,17
RKF,all EBS,2006,male,undetermined,old shell,148,17
RKF,all EBS,2006,male,undetermined,old shell,149,16
RKF,all EBS,2006,male,undetermined,old shell,150,12
RKF,all EBS,2006,male,undetermined,old shell,151,13
RKF,all EBS,2006,male,undetermined,old shell,152,10
RKF,all EBS,2006,male,undetermined,old shell,153,15
RKF,all EBS,2006,male,undetermined,old shell,154,13
RKF,all EBS,2006,male,undetermined,old shell,155,8
RKF,all EBS,2006,male,undetermined,old shell,156,14
RKF,all EBS,2006,male,undetermined,old shell,157,7
RKF,all EBS,2006,male,undetermined,old shell,158,12
RKF,all EBS,2006,male,undetermined,old shell,159,13
RKF,all EBS,2006,male,undetermined,old shell,160,9
RKF,all EBS,2006,male,undetermined,old shell,161,7
RKF,all EBS,2006,male,undetermined,old shell,162,8
RKF,all EBS,2006,male,undetermined,old shell,163,7
RKF,all EBS,2006,male,undetermined,old shell,164,5
RKF,all EBS,2006,male,undetermined,old shell,165,6
RKF,all EBS,2006,male,undetermined,old shell,166,1
RKF,all EBS,2006,male,undetermined,old shell,169,1
RKF,all EBS,2006,male,undetermined,old shell,172,1
RKF,all EBS,2006,male,undetermined,old shell,174,1
RKF,all EBS,2006,male,undetermined,old shell,175,1
RKF,all EBS,2007,male,undetermined,new shell,133,1
RKF,all EBS,2007,male,undetermined,new shell,139,2
RKF,all EBS,2007,male,undetermined,new shell,140,6
RKF,all EBS,2007,male,undetermined,new shell,141,5
RKF,all EBS,2007,male,undetermined,new shell,142,8
RKF,all EBS,2007,male,undetermined,new shell,143,9
RKF,all EBS,2007,male,undetermined,new shell,144,9
RKF,all EBS,2007,male,undetermined,new shell,145,2
RKF,all EBS,2007,male,undetermined,new shell,146,3
RKF,all EBS,2007,male,undetermined,new shell,147,4
RKF,all EBS,2007,male,undetermined,new shell,148,4
RKF,all EBS,2007,male,undetermined,new shell,149,5
RKF,all EBS,2007,male,undetermined,new shell,150,11
RKF,all EBS,2007,male,undetermined,new shell,151,2
RKF,all EBS,2007,male,undetermined,new shell,152,6
RKF,all EBS,2007,male,undetermined,new shell,153,6
RKF,all EBS,2007,male,undetermined,new shell,154,7
RKF,all EBS,2007,male,undetermined,new shell,155,3
RKF,all EBS,2007,male,undetermined,new shell,156,3
RKF,all EBS,2007,male,undetermined,new shell,157,8
RKF,all EBS,2007,male,undetermined,new shell,158,6
RKF,all EBS,2007,male,undetermined,new shell,159,13
RKF,all EBS,2007,male,undetermined,new shell,160,3
RKF,all EBS,2007,male,undetermined,new shell,161,7
RKF,all EBS,2007,male,undetermined,new shell,162,4
RKF,all EBS,2007,male,undetermined,new shell,163,3
RKF,all EBS,2007,male,undetermined,new shell,164,5
RKF,all EBS,2007,male,undetermined,new shell,165,4
RKF,all EBS,2007,male,undetermined,new shell,166,3
RKF,all EBS,2007,male,undetermined,new shell,167,3
RKF,all EBS,2007,male,undetermined,new shell,168,4
RKF,all EBS,2007,male,undetermined,new shell,169,1
RKF,all EBS,2007,male,undetermined,new shell,172,1
RKF,all EBS,2007,male,undetermined,old shell,127,1
RKF,all EBS,2007,male,undetermined,old shell,139,4
RKF,all EBS,2007,male,undetermined,old shell,140,3
RKF,all EBS,2007,male,undetermined,old shell,141,1
RKF,all EBS,2007,male,undetermined,old shell,142,3
RKF,all EBS,2007,male,undetermined,old shell,143,10
RKF,all EBS,2007,male,undetermined,old shell,144,4
RKF,all EBS,2007,male,undetermined,old shell,145,7
RKF,all EBS,2007,male,undetermined,old shell,146,5
RKF,all EBS,2007,male,undetermined,old shell,147,3
RKF,all EBS,2007,male,undetermined,old shell,148,6
RKF,all EBS,2007,male,undetermined,old shell,149,5
RKF,all EBS,2007,male,undetermined,old shell,150,4
RKF,all EBS,2007,male,undetermined,old shell,151,6
RKF,all EBS,2007,male,undetermined,old shell,152,6
RKF,all EBS,2007,male,undetermined,old shell,153,8
RKF,all EBS,2007,male,undetermined,old shell,154,6
RKF,all EBS,2007,male,undetermined,old shell,155,3
RKF,all EBS,2007,male,undetermined,old shell,156,4
RKF,all EBS,2007,male,undetermined,old shell,157,9
RKF,all EBS,2007,male,undetermined,old shell,158,8
RKF,all EBS,2007,male,undetermined,old shell,159,5
RKF,all EBS,2007,male,undetermined,old shell,160,4
RKF,all EBS,2007,male,undetermined,old shell,161,2
