fishery,area,sex,maturity,shell condition,year,ss,size,abundance
TCF,East 166W,male,undetermined,new shell,1980,0,25,0
TCF,East 166W,male,undetermined,new shell,1980,0,30,0
TCF,East 166W,male,undetermined,new shell,1980,0,35,0
TCF,East 166W,male,undetermined,new shell,1980,0,40,0
TCF,East 166W,male,undetermined,new shell,1980,0,45,0
TCF,East 166W,male,undetermined,new shell,1980,0,50,0
TCF,East 166W,male,undetermined,new shell,1980,0,55,0
TCF,East 166W,male,undetermined,new shell,1980,0,60,0
TCF,East 166W,male,undetermined,new shell,1980,0,65,0
TCF,East 166W,male,undetermined,new shell,1980,0,70,0
TCF,East 166W,male,undetermined,new shell,1980,0,75,0
TCF,East 166W,male,undetermined,new shell,1980,0,80,0
TCF,East 166W,male,undetermined,new shell,1980,0,85,0
TCF,East 166W,male,undetermined,new shell,1980,0,90,0
TCF,East 166W,male,undetermined,new shell,1980,0,95,0
TCF,East 166W,male,undetermined,new shell,1980,0,100,0
TCF,East 166W,male,undetermined,new shell,1980,0,105,0
TCF,East 166W,male,undetermined,new shell,1980,0,110,0
TCF,East 166W,male,undetermined,new shell,1980,0,115,0
TCF,East 166W,male,undetermined,new shell,1980,0,120,0
TCF,East 166W,male,undetermined,new shell,1980,0,125,0
TCF,East 166W,male,undetermined,new shell,1980,0,130,0
TCF,East 166W,male,undetermined,new shell,1980,0,135,0
TCF,East 166W,male,undetermined,new shell,1980,0,140,0
TCF,East 166W,male,undetermined,new shell,1980,0,145,0
TCF,East 166W,male,undetermined,new shell,1980,0,150,0
TCF,East 166W,male,undetermined,new shell,1980,0,155,0
TCF,East 166W,male,undetermined,new shell,1980,0,160,0
TCF,East 166W,male,undetermined,new shell,1980,0,165,0
TCF,East 166W,male,undetermined,new shell,1980,0,170,0
TCF,East 166W,male,undetermined,new shell,1980,0,175,0
TCF,East 166W,male,undetermined,new shell,1980,0,180,0
TCF,East 166W,male,undetermined,new shell,1981,0,25,0
TCF,East 166W,male,undetermined,new shell,1981,0,30,0
TCF,East 166W,male,undetermined,new shell,1981,0,35,0
TCF,East 166W,male,undetermined,new shell,1981,0,40,0
TCF,East 166W,male,undetermined,new shell,1981,0,45,0
TCF,East 166W,male,undetermined,new shell,1981,0,50,0
TCF,East 166W,male,undetermined,new shell,1981,0,55,0
TCF,East 166W,male,undetermined,new shell,1981,0,60,0
TCF,East 166W,male,undetermined,new shell,1981,0,65,0
TCF,East 166W,male,undetermined,new shell,1981,0,70,0
TCF,East 166W,male,undetermined,new shell,1981,0,75,0
TCF,East 166W,male,undetermined,new shell,1981,0,80,0
TCF,East 166W,male,undetermined,new shell,1981,0,85,0
TCF,East 166W,male,undetermined,new shell,1981,0,90,0
TCF,East 166W,male,undetermined,new shell,1981,0,95,0
TCF,East 166W,male,undetermined,new shell,1981,0,100,0
TCF,East 166W,male,undetermined,new shell,1981,0,105,0
TCF,East 166W,male,undetermined,new shell,1981,0,110,0
TCF,East 166W,male,undetermined,new shell,1981,0,115,0
TCF,East 166W,male,undetermined,new shell,1981,0,120,0
TCF,East 166W,male,undetermined,new shell,1981,0,125,0
TCF,East 166W,male,undetermined,new shell,1981,0,130,0
TCF,East 166W,male,undetermined,new shell,1981,0,135,0
TCF,East 166W,male,undetermined,new shell,1981,0,140,0
TCF,East 166W,male,undetermined,new shell,1981,0,145,0
TCF,East 166W,male,undetermined,new shell,1981,0,150,0
TCF,East 166W,male,undetermined,new shell,1981,0,155,0
TCF,East 166W,male,undetermined,new shell,1981,0,160,0
TCF,East 166W,male,undetermined,new shell,1981,0,165,0
TCF,East 166W,male,undetermined,new shell,1981,0,170,0
TCF,East 166W,male,undetermined,new shell,1981,0,175,0
TCF,East 166W,male,undetermined,new shell,1981,0,180,0
TCF,East 166W,male,undetermined,new shell,1982,0,25,0
TCF,East 166W,male,undetermined,new shell,1982,0,30,0
TCF,East 166W,male,undetermined,new shell,1982,0,35,0
TCF,East 166W,male,undetermined,new shell,1982,0,40,0
TCF,East 166W,male,undetermined,new shell,1982,0,45,0
TCF,East 166W,male,undetermined,new shell,1982,0,50,0
TCF,East 166W,male,undetermined,new shell,1982,0,55,0
TCF,East 166W,male,undetermined,new shell,1982,0,60,0
TCF,East 166W,male,undetermined,new shell,1982,0,65,0
TCF,East 166W,male,undetermined,new shell,1982,0,70,0
TCF,East 166W,male,undetermined,new shell,1982,0,75,0
TCF,East 166W,male,undetermined,new shell,1982,0,80,0
TCF,East 166W,male,undetermined,new shell,1982,0,85,0
TCF,East 166W,male,undetermined,new shell,1982,0,90,0
TCF,East 166W,male,undetermined,new shell,1982,0,95,0
TCF,East 166W,male,undetermined,new shell,1982,0,100,0
TCF,East 166W,male,undetermined,new shell,1982,0,105,0
TCF,East 166W,male,undetermined,new shell,1982,0,110,0
TCF,East 166W,male,undetermined,new shell,1982,0,115,0
TCF,East 166W,male,undetermined,new shell,1982,0,120,0
