fishery,area,sex,maturity,shell condition,year,ss,size,abundance
RKF,all EBS,female,undetermined,new shell,1990,4,25,0
RKF,all EBS,female,undetermined,new shell,1990,4,30,0
RKF,all EBS,female,undetermined,new shell,1990,4,35,0
RKF,all EBS,female,undetermined,new shell,1990,4,40,0
RKF,all EBS,female,undetermined,new shell,1990,4,45,0
RKF,all EBS,female,undetermined,new shell,1990,4,50,0
RKF,all EBS,female,undetermined,new shell,1990,4,55,3360.906976744186
RKF,all EBS,female,undetermined,new shell,1990,4,60,0
RKF,all EBS,female,undetermined,new shell,1990,4,65,0
RKF,all EBS,female,undetermined,new shell,1990,4,70,0
RKF,all EBS,female,undetermined,new shell,1990,4,75,0
RKF,all EBS,female,undetermined,new shell,1990,4,80,3360.906976744186
RKF,all EBS,female,undetermined,new shell,1990,4,85,0
RKF,all EBS,female,undetermined,new shell,1990,4,90,0
RKF,all EBS,female,undetermined,new shell,1990,4,95,0
RKF,all EBS,female,undetermined,new shell,1990,4,100,0
RKF,all EBS,female,undetermined,new shell,1990,4,105,3360.906976744186
RKF,all EBS,female,undetermined,new shell,1990,4,110,3360.906976744186
RKF,all EBS,female,undetermined,new shell,1990,4,115,0
RKF,all EBS,female,undetermined,new shell,1990,4,120,0
RKF,all EBS,female,undetermined,new shell,1990,4,125,0
RKF,all EBS,female,undetermined,new shell,1990,4,130,0
RKF,all EBS,female,undetermined,new shell,1990,4,135,0
RKF,all EBS,female,undetermined,new shell,1990,4,140,0
RKF,all EBS,female,undetermined,new shell,1990,4,145,0
RKF,all EBS,female,undetermined,new shell,1990,4,150,0
RKF,all EBS,female,undetermined,new shell,1990,4,155,0
RKF,all EBS,female,undetermined,new shell,1990,4,160,0
RKF,all EBS,female,undetermined,new shell,1990,4,165,0
RKF,all EBS,female,undetermined,new shell,1990,4,170,0
RKF,all EBS,female,undetermined,new shell,1990,4,175,0
RKF,all EBS,female,undetermined,new shell,1990,4,180,0
RKF,all EBS,female,undetermined,new shell,1991,29,25,0
RKF,all EBS,female,undetermined,new shell,1991,29,30,0
RKF,all EBS,female,undetermined,new shell,1991,29,35,0
RKF,all EBS,female,undetermined,new shell,1991,29,40,0
RKF,all EBS,female,undetermined,new shell,1991,29,45,0
RKF,all EBS,female,undetermined,new shell,1991,29,50,0
RKF,all EBS,female,undetermined,new shell,1991,29,55,0
RKF,all EBS,female,undetermined,new shell,1991,29,60,0
RKF,all EBS,female,undetermined,new shell,1991,29,65,0
RKF,all EBS,female,undetermined,new shell,1991,29,70,0
RKF,all EBS,female,undetermined,new shell,1991,29,75,1062.202247191011
RKF,all EBS,female,undetermined,new shell,1991,29,80,2124.404494382022
RKF,all EBS,female,undetermined,new shell,1991,29,85,3186.6067415730336
RKF,all EBS,female,undetermined,new shell,1991,29,90,5311.011235955056
RKF,all EBS,female,undetermined,new shell,1991,29,95,5311.011235955056
RKF,all EBS,female,undetermined,new shell,1991,29,100,4248.808988764044
RKF,all EBS,female,undetermined,new shell,1991,29,105,4248.808988764044
RKF,all EBS,female,undetermined,new shell,1991,29,110,2124.404494382022
RKF,all EBS,female,undetermined,new shell,1991,29,115,1062.202247191011
RKF,all EBS,female,undetermined,new shell,1991,29,120,0
RKF,all EBS,female,undetermined,new shell,1991,29,125,0
RKF,all EBS,female,undetermined,new shell,1991,29,130,1062.202247191011
RKF,all EBS,female,undetermined,new shell,1991,29,135,1062.202247191011
RKF,all EBS,female,undetermined,new shell,1991,29,140,0
RKF,all EBS,female,undetermined,new shell,1991,29,145,0
RKF,all EBS,female,undetermined,new shell,1991,29,150,0
RKF,all EBS,female,undetermined,new shell,1991,29,155,0
RKF,all EBS,female,undetermined,new shell,1991,29,160,0
RKF,all EBS,female,undetermined,new shell,1991,29,165,0
RKF,all EBS,female,undetermined,new shell,1991,29,170,0
RKF,all EBS,female,undetermined,new shell,1991,29,175,0
RKF,all EBS,female,undetermined,new shell,1991,29,180,0
RKF,all EBS,female,undetermined,new shell,1992,18,25,0
RKF,all EBS,female,undetermined,new shell,1992,18,30,0
RKF,all EBS,female,undetermined,new shell,1992,18,35,0
RKF,all EBS,female,undetermined,new shell,1992,18,40,0
RKF,all EBS,female,undetermined,new shell,1992,18,45,0
RKF,all EBS,female,undetermined,new shell,1992,18,50,0
RKF,all EBS,female,undetermined,new shell,1992,18,55,0
RKF,all EBS,female,undetermined,new shell,1992,18,60,0
RKF,all EBS,female,undetermined,new shell,1992,18,65,0
RKF,all EBS,female,undetermined,new shell,1992,18,70,0
RKF,all EBS,female,undetermined,new shell,1992,18,75,0
