ParName   Value   Gradient
log_n_init(1)      1.01612 -1.45558e-08
log_n_init(2)      12.0222   2.9115e-05
log_n_init(3)      8.06945 -5.55863e-07
log_n_init(4)      1.01208  6.05438e-08
log_n_init(5)      1.01236  1.02159e-08
log_n_init(6)      12.1504  3.40943e-05
log_n_init(7)      1.01122 -1.01563e-08
log_n_init(8)      12.0934  2.15021e-05
log_n_init(9)       1.0131 -1.34741e-07
log_n_init(10)      11.7062 -4.06257e-06
log_n_init(11)      11.2042  3.42633e-05
log_n_init(12)      9.22903  1.64934e-07
log_n_init(13)      11.7253  6.57708e-05
log_n_init(14)      1.01032 -2.89662e-07
log_n_init(15)      1.01011  2.11252e-05
log_n_init(16)       10.357 -4.70572e-06
log_n_init(17)      1.01009  9.63533e-09
log_n_init(18)      1.01004 -1.67088e-07
log_n_init(19)      1.01003  4.68137e-07
log_n_init(20)      1.01003  4.42963e-07
log_n_init(21)      1.01002  5.01065e-07
log_n_init(22)      1.01002 -8.13985e-07
log_n_init(23)      10.7859  1.73245e-05
log_n_init(24)      1.01002  2.30582e-07
log_n_init(25)      1.01002  1.48007e-07
log_n_init(26)      1.01002  5.05723e-07
log_n_init(27)      1.01003  3.09331e-06
log_n_init(28)      1.01002  1.08077e-06
log_n_init(29)      1.01002 -4.74088e-07
log_n_init(30)       1.0101  5.98878e-06
log_n_init(31)      1.01002 -7.54976e-08
log_n_init(32)      1.01002  4.44075e-07
log_n_init(33)      1.01001  6.50369e-07
log_n_init(34)      1.01001  1.61593e-06
log_n_init(35)      1.01001 -2.91115e-07
nat_m_dev(1976)    -0.875348 -1.91019e-05
nat_m_dev(1977)    -0.763953 -1.14384e-05
nat_m_dev(1978)    -0.642537 -9.33219e-06
nat_m_dev(1979)     -0.58706 -5.71482e-06
nat_m_dev(1980)      1.62629 -8.17284e-06
nat_m_dev(1981)    -0.590558 -1.08103e-06
nat_m_dev(1982)    -0.210976 -1.38208e-05
nat_m_dev(1983)      1.81784 -1.64127e-05
nat_m_dev(1984)  -0.00266668 -2.20681e-05
nat_m_dev(1985)    -0.744129  -1.8473e-05
nat_m_dev(1986)     -1.01102 -1.40333e-05
nat_m_dev(1987)     -1.17324 -7.78429e-06
nat_m_dev(1988)    -0.936165 -2.20737e-05
nat_m_dev(1989)    -0.736171  3.97695e-05
nat_m_dev(1990)    -0.126558 -0.000101164
nat_m_dev(1991)      1.94667  0.000135178
nat_m_dev(1992)      2.80851  8.27532e-05
nat_m_dev(1993)    -0.723226 -7.96707e-05
nat_m_dev(1994)     -1.14687 -6.34754e-05
nat_m_dev(1995)    -0.605458 -7.18488e-05
nat_m_dev(1996)     0.370255 -8.65132e-05
nat_m_dev(1997)     0.214849 -5.01658e-05
nat_m_dev(1998)    -0.748243   6.1138e-06
nat_m_dev(1999)    -0.518945  9.51589e-06
nat_m_dev(2000)    -0.459661   8.5948e-06
nat_m_dev(2001)      1.58054  1.74258e-05
nat_m_dev(2002)    -0.150429  8.08734e-06
nat_m_dev(2003)    -0.301943  8.23531e-06
nat_m_dev(2004)      1.55095  8.82994e-06
nat_m_dev(2005)    -0.806589  9.79052e-06
nat_m_dev(2006)    -0.584316  7.63481e-06
nat_m_dev(2007)   -0.0698082  8.48448e-06
nat_m_dev(2008)      1.69607  8.89099e-06
nat_m_dev(2009)     -0.27796  8.53959e-06
nat_m_dev(2010)    -0.365196  9.31531e-06
