ParName   Value   Gradient
log_n_imm(1)      17.8542 -2.44054e-05
log_n_imm(2)      18.6937 -6.76544e-05
log_n_imm(3)       18.622 -0.000107466
log_n_imm(4)      16.6401  -3.2569e-05
log_n_imm(5)        17.48 -8.60023e-07
log_n_imm(6)      17.1474  1.72908e-06
log_n_imm(7)      17.8562  1.30908e-06
log_n_imm(8)      17.7905  1.58017e-05
log_n_imm(9)      17.3828  9.27828e-06
log_n_imm(10)      17.4869 -9.86382e-06
log_n_imm(11)      17.6468 -9.77422e-06
log_n_imm(12)      17.5801 -1.02308e-06
log_n_imm(13)      17.3971 -5.31064e-06
log_n_imm(14)      17.2596 -9.73964e-06
log_n_imm(15)      17.0246 -4.14757e-06
log_n_imm(16)      17.1656 -6.25677e-06
log_n_imm(17)      16.9023 -1.20233e-05
log_n_imm(18)      16.8583 -1.67877e-05
log_n_imm(19)      16.4739 -9.31125e-06
log_n_imm(20)      16.5537  1.68346e-06
log_n_imm(21)      16.4059   1.7185e-05
log_n_imm(22)      15.9225  2.68762e-05
log_n_imm(23)      15.2215  2.24009e-05
log_n_imm(24)      14.8389  1.52711e-05
log_n_imm(25)      13.6143  8.19293e-06
log_n_imm(26)      12.7336  2.87772e-06
log_n_imm(27)      1.98005  3.16629e-06
log_n_imm(28)      2.88966  1.09078e-05
log_n_imm(29)      1.01286  5.38787e-06
log_n_imm(30)      1.01235  5.95841e-06
log_n_imm(31)      2.83858  9.85504e-06
log_n_imm(32)      1.58012  1.25484e-06
log_n_mat(1)      16.4234 -1.80238e-06
log_n_mat(2)      16.8562  3.30774e-07
log_n_mat(3)      16.5714   1.3743e-06
log_n_mat(4)       17.089  -5.1351e-06
log_n_mat(5)      16.5148  9.73767e-07
log_n_mat(6)      16.1748 -5.94449e-06
log_n_mat(7)      14.1869 -1.82759e-06
log_n_mat(8)      14.7063 -8.65524e-06
log_n_mat(9)      14.9923  1.06121e-06
log_n_mat(10)      14.7596 -3.84569e-07
log_n_mat(11)      15.4721 -5.01891e-08
log_n_mat(12)      15.9549  2.72583e-06
log_n_mat(13)      16.2344  2.80774e-06
log_n_mat(14)      16.7442 -5.62603e-06
log_n_mat(15)      17.0008 -2.04518e-06
log_n_mat(16)      16.8823 -2.81667e-06
log_n_mat(17)      16.9879 -2.95722e-06
log_n_mat(18)      17.2287 -4.46304e-06
log_n_mat(19)      17.2086 -1.74501e-06
log_n_mat(20)         17.6  5.29581e-07
log_n_mat(21)      17.6993 -1.52277e-05
log_n_mat(22)      17.8533 -1.89264e-05
log_n_mat(23)      17.9411 -3.55541e-05
log_n_mat(24)      18.0913 -2.38002e-05
log_n_mat(25)      18.0492  5.37859e-05
log_n_mat(26)      18.2703  8.72726e-05
log_n_mat(27)      18.3213  5.58755e-05
log_n_mat(28)      18.0127 -7.48109e-07
log_n_mat(29)      17.5412 -8.78784e-06
log_n_mat(30)      16.8546 -9.87045e-06
log_n_mat(31)      15.9178   4.6784e-06
log_n_mat(32)      14.7252  8.27165e-06
nat_m_dev(1975)     0.162386  5.75106e-06
nat_m_dev(1976)    -0.124295  6.79151e-06
nat_m_dev(1977)    -0.223198  5.55656e-06
nat_m_dev(1978)    -0.375159  4.15248e-06
nat_m_dev(1979)    -0.543574   4.2596e-06
nat_m_dev(1980)    -0.183403  5.76506e-06
nat_m_dev(1981)    -0.186163  4.08552e-06
nat_m_dev(1982)    -0.337103 -7.01299e-07
nat_m_dev(1983)    -0.215325  6.54424e-08
nat_m_dev(1984)    -0.322384 -2.80754e-06
nat_m_dev(1985)    -0.812033  -2.7915e-06
nat_m_dev(1986)     -1.04597 -4.24146e-06
nat_m_dev(1987)      -1.1556 -3.94331e-06
nat_m_dev(1988)     -1.18945 -2.03499e-06
nat_m_dev(1989)     -1.15275 -5.42613e-06
nat_m_dev(1990)     -1.05678 -3.42739e-06
nat_m_dev(1991)    -0.729667  1.60735e-06
nat_m_dev(1992)    -0.180042  5.59872e-06
nat_m_dev(1993)     0.449815  6.75029e-06
nat_m_dev(1994)       1.8115  6.89689e-06
nat_m_dev(1995)     0.424905   4.3251e-06
nat_m_dev(1996)     0.319186  2.07031e-06
nat_m_dev(1997)     0.154605  -1.1286e-06
nat_m_dev(1998)      0.18318  8.40463e-07
nat_m_dev(1999)     0.330593 -5.16577e-07
nat_m_dev(2000)     0.108453 -4.26903e-06
nat_m_dev(2001)     0.532325  3.68933e-06
nat_m_dev(2002)    0.0599612 -1.71403e-06
nat_m_dev(2003)    -0.340043 -1.75646e-06
nat_m_dev(2004)    -0.626194  1.48363e-06
nat_m_dev(2005)    -0.640333 -1.20011e-06
nat_m_dev(2006)    -0.504808 -3.83473e-07
nat_m_dev(2007)    -0.108191 -1.03206e-06
nat_m_dev(2008)    0.0854918 -5.09479e-07
nat_m_dev(2009)     -0.40306  -1.0558e-06
nat_m_dev(2010)    -0.515857 -9.96323e-07
nat_m_dev(2011)    -0.312071  6.11437e-07
nat_m_dev(2012)    -0.141894 -8.68235e-07
nat_m_dev(2013)    0.0220809 -8.96014e-07
nat_m_dev(2014)     0.676014  9.95099e-06
nat_m_dev(2015)      1.24559  8.70228e-06
nat_m_dev(2016)      1.35943   5.9498e-06
nat_m_dev(2017)     0.290584  -1.2503e-06
nat_m_dev(2018)      0.89374 -1.31607e-06
nat_m_dev(2019)      1.92462  3.19703e-06
nat_m_dev(2020)     0.739474 -5.11415e-06
nat_m_dev(2021)      0.91738 -2.42609e-06
nat_m_dev(2022)     0.193177 -9.23351e-07
nat_m_dev(2023)     0.540865  -3.3599e-06
nat_m_mat_dev(1975)     0.479759 -4.77827e-06
nat_m_mat_dev(1976)     0.131181 -6.05923e-06
nat_m_mat_dev(1977)     0.225722   3.7477e-06
nat_m_mat_dev(1978)    0.0197762 -4.99652e-06
nat_m_mat_dev(1979)    -0.792323  -1.8175e-05
nat_m_mat_dev(1980)    -0.130465 -1.12829e-05
nat_m_mat_dev(1981)     0.198925 -5.24575e-06
nat_m_mat_dev(1982)     0.924806  3.68602e-05
nat_m_mat_dev(1983)    -0.316158 -1.28569e-05
nat_m_mat_dev(1984)    -0.830846 -2.20177e-05
nat_m_mat_dev(1985)     -1.35335 -1.56668e-05
nat_m_mat_dev(1986)     -1.54169  1.06733e-05
nat_m_mat_dev(1987)     -1.53159  1.25135e-05
nat_m_mat_dev(1988)     -1.31109 -2.01541e-05
nat_m_mat_dev(1989)    -0.838709 -2.88513e-05
nat_m_mat_dev(1990)    0.0662212 -2.59896e-05
nat_m_mat_dev(1991)     0.580858 -1.31545e-05
nat_m_mat_dev(1992)     0.439355 -1.88326e-06
nat_m_mat_dev(1993)     0.631388  1.30208e-05
nat_m_mat_dev(1994)     0.179474 -7.39083e-07
nat_m_mat_dev(1995)     0.348397 -1.33732e-05
nat_m_mat_dev(1996)      1.11661 -4.05416e-06
nat_m_mat_dev(1997)   -0.0894197 -2.04183e-05
nat_m_mat_dev(1998)    -0.360377 -2.47014e-05
nat_m_mat_dev(1999)    -0.415886 -2.49249e-05
nat_m_mat_dev(2000)    -0.447756 -2.53852e-05
nat_m_mat_dev(2001)     -0.60859 -2.54146e-05
nat_m_mat_dev(2002)    -0.619564 -2.37665e-05
nat_m_mat_dev(2003)    -0.364304 -2.43791e-05
nat_m_mat_dev(2004)     0.341197 -2.39784e-05
nat_m_mat_dev(2005)     0.130005 -2.51522e-05
nat_m_mat_dev(2006)     0.979326 -1.73989e-05
nat_m_mat_dev(2007)     0.951281 -1.02383e-05
nat_m_mat_dev(2008)    -0.169168 -2.01671e-05
nat_m_mat_dev(2009)     0.885035 -1.28698e-05
nat_m_mat_dev(2010)     0.518438 -1.67927e-05
nat_m_mat_dev(2011)    -0.300276 -2.39042e-05
nat_m_mat_dev(2012)    -0.174541 -2.36011e-05
nat_m_mat_dev(2013)     0.582644 -1.94446e-05
nat_m_mat_dev(2014)     0.811036 -1.97517e-05
nat_m_mat_dev(2015)    -0.117658 -1.97784e-05
nat_m_mat_dev(2016)   -0.0474411 -1.84712e-05
nat_m_mat_dev(2017)     0.247034 -1.42871e-05
nat_m_mat_dev(2018)     0.882709 -1.74522e-05
nat_m_mat_dev(2019)   -0.0605854 -1.64912e-05
nat_m_mat_dev(2020)     0.113805 -2.09018e-05
nat_m_mat_dev(2021)     0.177415 -1.96575e-05
nat_m_mat_dev(2022)      0.37884 -2.14888e-05
nat_m_mat_dev(2023)    0.0805549 -1.97889e-05
nat_m_lg_dev(1975)            0            0
nat_m_lg_dev(1976)            0            0
nat_m_lg_dev(1977)            0            0
nat_m_lg_dev(1978)            0            0
nat_m_lg_dev(1979)            0            0
nat_m_lg_dev(1980)            0            0
nat_m_lg_dev(1981)            0            0
nat_m_lg_dev(1982)            0            0
nat_m_lg_dev(1983)            0            0
nat_m_lg_dev(1984)            0            0
nat_m_lg_dev(1985)            0            0
nat_m_lg_dev(1986)            0            0
nat_m_lg_dev(1987)            0            0
nat_m_lg_dev(1988)            0            0
nat_m_lg_dev(1989)            0            0
nat_m_lg_dev(1990)            0            0
nat_m_lg_dev(1991)            0            0
nat_m_lg_dev(1992)            0            0
nat_m_lg_dev(1993)            0            0
nat_m_lg_dev(1994)            0            0
nat_m_lg_dev(1995)            0            0
nat_m_lg_dev(1996)            0            0
nat_m_lg_dev(1997)            0            0
nat_m_lg_dev(1998)            0            0
nat_m_lg_dev(1999)            0            0
nat_m_lg_dev(2000)            0            0
nat_m_lg_dev(2001)            0            0
nat_m_lg_dev(2002)            0            0
nat_m_lg_dev(2003)            0            0
nat_m_lg_dev(2004)            0            0
nat_m_lg_dev(2005)            0            0
nat_m_lg_dev(2006)            0            0
nat_m_lg_dev(2007)            0            0
nat_m_lg_dev(2008)            0            0
nat_m_lg_dev(2009)            0            0
nat_m_lg_dev(2010)            0            0
nat_m_lg_dev(2011)            0            0
nat_m_lg_dev(2012)            0            0
nat_m_lg_dev(2013)            0            0
nat_m_lg_dev(2014)            0            0
nat_m_lg_dev(2015)            0            0
nat_m_lg_dev(2016)            0            0
nat_m_lg_dev(2017)            0            0
nat_m_lg_dev(2018)            0            0
nat_m_lg_dev(2019)            0            0
nat_m_lg_dev(2020)            0            0
nat_m_lg_dev(2021)            0            0
nat_m_lg_dev(2022)            0            0
nat_m_lg_dev(2023)            0            0
log_avg_rec      18.3467  -0.00093862
rec_devs(1975)      1.23938  0.000107902
rec_devs(1976)     0.713815  0.000149455
rec_devs(1977)      -9.6228   8.8377e-05
rec_devs(1978)     -2.00285   0.00016942
rec_devs(1979)     -1.98369   0.00017158
rec_devs(1980)    -0.292035   0.00015061
rec_devs(1981)    -0.248942  0.000156981
rec_devs(1982)      1.06351  0.000206661
rec_devs(1983)     0.257618   0.00020821
rec_devs(1984)     0.641471  0.000187244
rec_devs(1985)       1.0118  9.96378e-05
rec_devs(1986)     0.558332  6.81252e-05
rec_devs(1987)    -0.300387  0.000149639
rec_devs(1988)    -0.145414  0.000174597
rec_devs(1989)      -1.7202  0.000156237
rec_devs(1990)    -0.589723  0.000188936
rec_devs(1991)    -0.412296   0.00012561
rec_devs(1992)    -0.458267   0.00011324
rec_devs(1993)    -0.499994  0.000172761
rec_devs(1994)   -0.0435264  0.000147312
rec_devs(1995)    -0.828419  0.000170234
rec_devs(1996)     0.152155  0.000234052
rec_devs(1997)    -0.388302  0.000175654
rec_devs(1998)      1.21558  0.000104322
rec_devs(1999)     0.324829  0.000175419
rec_devs(2000)      1.73962  0.000162737
rec_devs(2001)  -0.00150438  0.000164134
rec_devs(2002)      1.53271  0.000119953
rec_devs(2003)     0.738177  9.15901e-05
rec_devs(2004)    -0.134368  0.000167228
rec_devs(2005)    -0.453327  0.000166057
rec_devs(2006)     0.239028   0.00022257
rec_devs(2007)      1.14718  0.000205536
rec_devs(2008)      1.28673  0.000180428
rec_devs(2009)      0.49962  0.000174559
rec_devs(2010)    -0.184956  0.000197361
rec_devs(2011)    -0.441529  0.000155425
rec_devs(2012)     0.118889   0.00014255
rec_devs(2013)    -0.227467  0.000163525
rec_devs(2014)     0.245166  0.000153517
rec_devs(2015)     0.416932  0.000180116
rec_devs(2016)      1.66019  0.000218872
rec_devs(2017)     0.666415  0.000176129
rec_devs(2018)      1.24057  0.000137063
rec_devs(2019)     0.153347  0.000177126
rec_devs(2020)      1.53319  0.000154212
rec_devs(2021)      2.02611  0.000168204
rec_devs(2022)      1.59386  0.000170495
rec_devs(2023)            0  0.000167876
log_m_mu(1)     -2.30952  0.000156853
log_m_mu(2)     -1.36202  0.000186684
log_m_mu(3)     -1.13718 -1.34753e-08
prop_rec(1)      27.2119 -3.97117e-06
prop_rec(2)      5.34685  3.54701e-06
log_f     -1.65713  -2.8918e-05
f_dev(1)     -1.26833 -7.82479e-06
f_dev(2)    -0.492707  2.01425e-07
f_dev(3)    -0.111612 -6.78698e-06
f_dev(4)   -0.0855289 -3.12181e-06
f_dev(5)    0.0466137 -4.05184e-06
f_dev(6)    0.0875221 -5.57906e-06
f_dev(7)    -0.501738 -3.46015e-06
f_dev(8)     -1.05815 -1.02195e-05
f_dev(9)     -2.30591 -1.20041e-05
f_dev(10)     -1.37318 -1.11696e-05
f_dev(11)     -1.31102 -5.60405e-06
f_dev(12)    -0.254878 -9.26758e-07
f_dev(13)     0.668284 -8.41427e-06
f_dev(14)      1.48522 -1.68153e-06
f_dev(15)      1.79326 -1.28593e-05
f_dev(16)      1.29904  6.82037e-06
f_dev(17)      1.03384 -6.43863e-07
f_dev(18)     0.458322 -2.12433e-05
f_dev(19)     0.195003 -2.98004e-05
f_dev(20)     0.227852  3.13062e-05
f_dev(21)    -0.787766  1.75249e-05
f_dev(22)      1.45928 -3.12022e-06
f_dev(23)     0.692103 -1.16109e-05
f_dev(24)     0.183231  7.10284e-06
f_dev(25)      2.38301  1.06512e-05
f_dev(26)    -0.559271 -1.96559e-06
f_dev(27)     0.606376  7.56312e-06
f_dev(28)     0.921798 -3.81817e-06
f_dev(29)    -0.787326 -8.12692e-06
f_dev(30)    -0.747021 -4.77648e-06
f_dev(31)    -0.722983 -8.65197e-06
f_dev(32)     -1.01666  2.90247e-06
f_dev(33)    -0.156681  6.73229e-06
fish_ret_sel_50      140.488  8.63761e-05
fish_ret_sel_50_post      134.184 -7.56546e-05
fish_ret_sel_slope     0.541734 -0.000227371
fish_ret_sel_slope_post     0.165296 -0.000168242
fish_tot_sel_offset(1)           40  1.27077e-06
fish_tot_sel_offset(2)           40 -4.27904e-06
fish_tot_sel_offset(3)      12.5178 -4.22028e-07
fish_tot_sel_offset(4)     -1.11867  2.18095e-06
fish_tot_sel_offset(5)      5.17721  -1.0919e-06
fish_tot_sel_offset(6)     -1.35352 -1.10437e-06
fish_tot_sel_offset(7)     -3.09605 -7.05701e-06
fish_tot_sel_offset(8)      6.93193  8.96053e-07
fish_tot_sel_offset(9)    -0.457844 -5.54788e-06
fish_tot_sel_offset(10)      1.19852 -1.48536e-05
fish_tot_sel_offset(11)      6.10072 -1.71737e-05
fish_tot_sel_offset(12)     -11.5889  2.78375e-06
fish_tot_sel_offset(13)      -5.1368  8.66384e-07
fish_tot_sel_offset(14)     -18.9391  -2.1634e-07
fish_tot_sel_offset(15)     -8.98952 -1.30821e-05
fish_tot_sel_offset(16)     -14.3459  2.97775e-06
fish_tot_sel_offset(17)     -38.6676  8.38455e-06
fish_tot_sel_offset(18)    -0.662438  1.07357e-06
fish_tot_sel_offset(19)      9.66154   8.0844e-06
fish_tot_sel_offset(20)      11.2926  1.29185e-06
fish_tot_sel_offset(21)      5.58957 -2.14538e-06
fish_tot_sel_offset(22)      15.3855  2.02271e-07
fish_tot_sel_offset(23)      24.4084 -3.49316e-06
fish_tot_sel_offset(24)       25.671  2.86377e-06
fish_tot_sel_offset(25)        16.91  3.57465e-06
fish_tot_sel_slope     0.135756 -0.000242846
surv_q     0.423167  -5.2336e-05
surv_slope    0.0513928 -0.000469124
surv_50      51.0502 -8.77395e-06
