ParName   Value   Gradient
log_n_imm(1)      20.5964 -4.43201e-05
log_n_imm(2)      20.6778 -1.34364e-05
log_n_imm(3)      20.3369  6.68094e-06
log_n_imm(4)      18.1763  9.16769e-06
log_n_imm(5)      18.9224  1.45183e-05
log_n_imm(6)      18.4793  9.74023e-06
log_n_imm(7)      19.0563  -5.9923e-07
log_n_imm(8)       18.879  4.84497e-06
log_n_imm(9)      18.4202 -6.43936e-06
log_n_imm(10)      18.4905  1.32798e-05
log_n_imm(11)      18.6343  1.54352e-05
log_n_imm(12)      18.5684  2.28841e-05
log_n_imm(13)      18.3955  1.47868e-05
log_n_imm(14)      18.2724  1.77986e-05
log_n_imm(15)      18.0437  6.28444e-06
log_n_imm(16)      18.1761 -9.67432e-06
log_n_imm(17)      17.9045  2.33146e-06
log_n_imm(18)      17.8855  4.16643e-06
log_n_imm(19)      17.5472  5.37597e-06
log_n_imm(20)      17.5614  8.75918e-06
log_n_imm(21)      17.2561 -6.33158e-06
log_n_imm(22)      16.6745 -2.56601e-05
log_n_imm(23)      15.9407  3.31582e-06
log_n_imm(24)      15.5465 -5.39713e-06
log_n_imm(25)        14.32  7.54528e-07
log_n_imm(26)      13.4507  1.10055e-06
log_n_imm(27)      3.60165  7.77549e-06
log_n_imm(28)      1.09017 -9.16595e-07
log_n_imm(29)      4.45788  1.87038e-05
log_n_imm(30)      1.12326  7.34261e-07
log_n_imm(31)      1.68047 -1.90073e-07
log_n_imm(32)      1.28139  3.23049e-07
log_n_mat(1)      18.6547  2.42206e-06
log_n_mat(2)      19.0051  8.45293e-08
log_n_mat(3)      18.5882 -6.59509e-06
log_n_mat(4)      18.9254  5.69186e-06
log_n_mat(5)      18.1369  1.62727e-06
log_n_mat(6)      17.5759 -3.42363e-06
log_n_mat(7)      14.5615  5.67138e-08
log_n_mat(8)       15.145    4.465e-06
log_n_mat(9)       15.545  2.78763e-05
log_n_mat(10)       15.142 -6.27875e-06
log_n_mat(11)      15.8986   5.3121e-06
log_n_mat(12)      16.4997  4.14653e-06
log_n_mat(13)      16.8736  -2.4551e-06
log_n_mat(14)      17.4077  8.46004e-06
log_n_mat(15)      17.7243 -7.06864e-06
log_n_mat(16)       17.708  2.96195e-06
log_n_mat(17)      17.8868 -1.11283e-06
log_n_mat(18)      18.1708 -8.36086e-07
log_n_mat(19)      18.1903 -2.94841e-06
log_n_mat(20)      18.5964  1.47516e-05
log_n_mat(21)       18.696  2.42672e-05
log_n_mat(22)      18.8278  2.23898e-05
log_n_mat(23)      19.0966  -2.5312e-05
log_n_mat(24)      19.2903     5.18e-05
log_n_mat(25)      18.7858 -1.53831e-05
log_n_mat(26)      18.8697  4.33034e-05
log_n_mat(27)      18.8742 -5.53097e-05
log_n_mat(28)      18.5489  2.65027e-05
log_n_mat(29)      18.0463   1.6847e-05
log_n_mat(30)       17.365 -7.40416e-06
log_n_mat(31)      16.4289 -1.71103e-06
log_n_mat(32)      15.3147  1.11871e-05
nat_m_dev(1975)     0.695752  1.13251e-05
nat_m_dev(1976)     0.658543  1.16591e-05
nat_m_dev(1977)      1.04357  2.94099e-05
nat_m_dev(1978)     0.679172  1.28502e-05
nat_m_dev(1979)     0.148931  2.32092e-06
nat_m_dev(1980)     0.640846  6.24034e-06
nat_m_dev(1981)      1.13146  1.86303e-05
nat_m_dev(1982)  -0.00912166 -3.34871e-06
nat_m_dev(1983)    -0.141152  1.49332e-06
nat_m_dev(1984)    -0.357713  1.92646e-06
nat_m_dev(1985)    -0.765948  1.35879e-05
nat_m_dev(1986)    -0.961549  6.63577e-06
nat_m_dev(1987)      -1.1135  1.08275e-06
nat_m_dev(1988)      -1.2019  4.36041e-07
nat_m_dev(1989)      -1.1907  1.01609e-05
nat_m_dev(1990)     -1.08303 -4.99932e-06
nat_m_dev(1991)    -0.820192 -1.40432e-05
nat_m_dev(1992)    -0.455445 -1.40751e-05
nat_m_dev(1993)     0.269368 -4.44084e-06
nat_m_dev(1994)      1.00054 -1.13219e-06
nat_m_dev(1995)      0.34868 -4.37432e-06
nat_m_dev(1996)      0.11195 -7.80533e-06
nat_m_dev(1997)    -0.114228  -1.2539e-05
nat_m_dev(1998)    -0.185709 -1.06231e-05
nat_m_dev(1999)    -0.256819 -9.07309e-06
nat_m_dev(2000)    -0.357317 -1.09029e-05
nat_m_dev(2001)    -0.214028 -9.86554e-06
nat_m_dev(2002)    -0.377774  -1.2224e-05
nat_m_dev(2003)    -0.624247 -5.82796e-06
nat_m_dev(2004)     -0.89022 -7.62485e-06
nat_m_dev(2005)    -0.920474 -1.08559e-05
nat_m_dev(2006)    -0.769938 -6.50876e-06
nat_m_dev(2007)    -0.316779 -3.61512e-06
nat_m_dev(2008)       0.8834  1.11051e-05
nat_m_dev(2009)    -0.290066 -2.31631e-06
nat_m_dev(2010)    -0.432726 -4.96109e-06
nat_m_dev(2011)     -0.36149 -1.35701e-06
nat_m_dev(2012)    -0.127834  1.15774e-06
nat_m_dev(2013)    0.0584335  5.83602e-06
nat_m_dev(2014)     0.694387  1.70441e-05
nat_m_dev(2015)      1.07223  1.74555e-05
nat_m_dev(2016)     0.928004  8.06787e-06
nat_m_dev(2017)     0.187612  -4.4693e-06
nat_m_dev(2018)     0.548107  2.75542e-06
nat_m_dev(2019)     0.974012  1.53544e-06
nat_m_dev(2020)     0.480035 -6.64733e-06
nat_m_dev(2021)     0.394528 -6.01235e-06
nat_m_dev(2022)     0.246042 -5.65483e-06
nat_m_dev(2023)      1.14428  8.67507e-06
nat_m_mat_dev(1975)     0.547262  3.83102e-06
nat_m_mat_dev(1976)     0.276512   7.5636e-06
nat_m_mat_dev(1977)     0.228293  5.29107e-06
nat_m_mat_dev(1978)     0.114331   6.1155e-07
nat_m_mat_dev(1979)    -0.586253  4.64063e-06
nat_m_mat_dev(1980)    0.0165389  1.01557e-05
nat_m_mat_dev(1981)       1.3755  2.78048e-05
nat_m_mat_dev(1982)     0.485839  6.28646e-07
nat_m_mat_dev(1983)    -0.498439 -4.49367e-06
nat_m_mat_dev(1984)    -0.976997 -2.41001e-06
nat_m_mat_dev(1985)     -1.32028 -4.44455e-06
nat_m_mat_dev(1986)     -1.37069  -5.2526e-06
nat_m_mat_dev(1987)     -1.38066  1.00531e-06
nat_m_mat_dev(1988)     -1.14152 -1.78316e-07
nat_m_mat_dev(1989)    -0.732673  7.40054e-06
nat_m_mat_dev(1990)    -0.111574  3.31033e-06
nat_m_mat_dev(1991)     0.335839  2.04063e-05
nat_m_mat_dev(1992)       0.9284  3.73704e-05
nat_m_mat_dev(1993)   0.00902955  4.37597e-07
nat_m_mat_dev(1994)    -0.373991 -1.21657e-05
nat_m_mat_dev(1995)     -0.10367 -4.19847e-06
nat_m_mat_dev(1996)      1.40931  1.11537e-06
nat_m_mat_dev(1997)    0.0130352 -7.75143e-06
nat_m_mat_dev(1998)     -0.35754 -5.28381e-06
nat_m_mat_dev(1999)    -0.346812 -9.01742e-06
nat_m_mat_dev(2000)    -0.394664 -6.62401e-06
nat_m_mat_dev(2001)    -0.712095 -9.14254e-06
nat_m_mat_dev(2002)    -0.784509 -8.85578e-06
nat_m_mat_dev(2003)    -0.627407  -1.0205e-05
nat_m_mat_dev(2004)     0.414044 -1.19037e-07
nat_m_mat_dev(2005)     0.925678 -1.97861e-05
nat_m_mat_dev(2006)      1.20918 -9.97626e-06
nat_m_mat_dev(2007)   -0.0552291 -8.88772e-06
nat_m_mat_dev(2008)    -0.729058 -3.38239e-06
nat_m_mat_dev(2009)     0.134842 -1.19731e-06
nat_m_mat_dev(2010)    0.0803415  1.54013e-06
nat_m_mat_dev(2011)   -0.0731378 -1.48053e-06
nat_m_mat_dev(2012)    -0.086798 -3.17843e-06
nat_m_mat_dev(2013)      0.46889  8.41647e-06
nat_m_mat_dev(2014)     0.398872   9.7301e-06
nat_m_mat_dev(2015)    -0.354992  1.39052e-05
nat_m_mat_dev(2016)   -0.0115021  1.55782e-05
nat_m_mat_dev(2017)     0.638863  3.22215e-05
nat_m_mat_dev(2018)      1.18636  2.83883e-05
nat_m_mat_dev(2019)     0.670667  7.64845e-06
nat_m_mat_dev(2020)     0.666339  1.86129e-05
nat_m_mat_dev(2021)     0.623754  4.41267e-06
nat_m_mat_dev(2022)   -0.0501022 -2.38805e-06
nat_m_mat_dev(2023)    0.0228669 -7.10465e-07
nat_m_lg_dev(1975)            0            0
nat_m_lg_dev(1976)            0            0
nat_m_lg_dev(1977)            0            0
nat_m_lg_dev(1978)            0            0
nat_m_lg_dev(1979)            0            0
nat_m_lg_dev(1980)            0            0
nat_m_lg_dev(1981)            0            0
nat_m_lg_dev(1982)            0            0
nat_m_lg_dev(1983)            0            0
nat_m_lg_dev(1984)            0            0
nat_m_lg_dev(1985)            0            0
nat_m_lg_dev(1986)            0            0
nat_m_lg_dev(1987)            0            0
nat_m_lg_dev(1988)            0            0
nat_m_lg_dev(1989)            0            0
nat_m_lg_dev(1990)            0            0
nat_m_lg_dev(1991)            0            0
nat_m_lg_dev(1992)            0            0
nat_m_lg_dev(1993)            0            0
nat_m_lg_dev(1994)            0            0
nat_m_lg_dev(1995)            0            0
nat_m_lg_dev(1996)            0            0
nat_m_lg_dev(1997)            0            0
nat_m_lg_dev(1998)            0            0
nat_m_lg_dev(1999)            0            0
nat_m_lg_dev(2000)            0            0
nat_m_lg_dev(2001)            0            0
nat_m_lg_dev(2002)            0            0
nat_m_lg_dev(2003)            0            0
nat_m_lg_dev(2004)            0            0
nat_m_lg_dev(2005)            0            0
nat_m_lg_dev(2006)            0            0
nat_m_lg_dev(2007)            0            0
nat_m_lg_dev(2008)            0            0
nat_m_lg_dev(2009)            0            0
nat_m_lg_dev(2010)            0            0
nat_m_lg_dev(2011)            0            0
nat_m_lg_dev(2012)            0            0
nat_m_lg_dev(2013)            0            0
nat_m_lg_dev(2014)            0            0
nat_m_lg_dev(2015)            0            0
nat_m_lg_dev(2016)            0            0
nat_m_lg_dev(2017)            0            0
nat_m_lg_dev(2018)            0            0
nat_m_lg_dev(2019)            0            0
nat_m_lg_dev(2020)            0            0
nat_m_lg_dev(2021)            0            0
nat_m_lg_dev(2022)            0            0
nat_m_lg_dev(2023)            0            0
log_avg_rec      18.6388  0.000198488
rec_devs(1975)       3.0609  0.000333555
rec_devs(1976)      2.84729  0.000368199
rec_devs(1977)     -1.76663  0.000380319
rec_devs(1978)    -0.478172  0.000407277
rec_devs(1979)     -1.10813  0.000406565
